file,truth,predict,confidence,disease,top2,hit
normal/environment_metal_1.wav,normal,normal,0.9355,健康猪只,mycoplasma,True
normal/environment_metal_2.wav,normal,normal,0.8106,健康猪只,mycoplasma,True
normal/environment_white_noise_1.wav,normal,normal,0.9376,健康猪只,mycoplasma,True
normal/environment_white_noise_2.wav,normal,normal,0.9521,健康猪只,mycoplasma,True
normal/hungry_1.wav,normal,normal,0.9404,健康猪只,mycoplasma,True
normal/hungry_2.wav,normal,normal,0.958,健康猪只,mycoplasma,True
normal/hungry_3.wav,normal,normal,0.956,健康猪只,mycoplasma,True
normal/hungry_4.wav,normal,normal,0.9547,健康猪只,mycoplasma,True
normal/hungry_5.wav,normal,normal,0.9353,健康猪只,mycoplasma,True
normal/hungry_6.wav,normal,normal,0.9559,健康猪只,mycoplasma,True
normal/hungry_7.wav,normal,normal,0.9519,健康猪只,mycoplasma,True
normal/hungry_8.wav,normal,normal,0.9403,健康猪只,mycoplasma,True
normal/normal_1.wav,normal,normal,0.941,健康猪只,mycoplasma,True
normal/normal_2.wav,normal,normal,0.9519,健康猪只,mycoplasma,True
normal/normal_3.wav,normal,normal,0.9486,健康猪只,mycoplasma,True
normal/normal_4.wav,normal,normal,0.9496,健康猪只,mycoplasma,True
normal/normal_5.wav,normal,normal,0.9458,健康猪只,mycoplasma,True
normal/normal_6.wav,normal,app,0.3835,猪传染性胸膜肺炎,normal,False
normal/normal_7.wav,normal,normal,0.7054,健康猪只,mycoplasma,True
normal/oink_1.wav,normal,normal,0.9416,健康猪只,mycoplasma,True
normal/oink_10.wav,normal,normal,0.8846,健康猪只,mycoplasma,True
normal/oink_11.wav,normal,normal,0.937,健康猪只,mycoplasma,True
normal/oink_12.wav,normal,normal,0.9433,健康猪只,mycoplasma,True
normal/oink_13.wav,normal,normal,0.9468,健康猪只,mycoplasma,True
normal/oink_14.wav,normal,normal,0.9464,健康猪只,mycoplasma,True
normal/oink_15.wav,normal,normal,0.9545,健康猪只,mycoplasma,True
normal/oink_16.wav,normal,normal,0.944,健康猪只,mycoplasma,True
normal/oink_17.wav,normal,normal,0.9316,健康猪只,mycoplasma,True
normal/oink_18.wav,normal,normal,0.9453,健康猪只,mycoplasma,True
normal/oink_19.wav,normal,normal,0.9506,健康猪只,mycoplasma,True
normal/oink_2.wav,normal,normal,0.9425,健康猪只,mycoplasma,True
normal/oink_20.wav,normal,normal,0.9417,健康猪只,mycoplasma,True
normal/oink_21.wav,normal,normal,0.9323,健康猪只,mycoplasma,True
normal/oink_22.wav,normal,normal,0.9573,健康猪只,mycoplasma,True
normal/oink_23.wav,normal,normal,0.9592,健康猪只,mycoplasma,True
normal/oink_24.wav,normal,normal,0.9585,健康猪只,mycoplasma,True
normal/oink_25.wav,normal,normal,0.9515,健康猪只,mycoplasma,True
normal/oink_3.wav,normal,normal,0.9392,健康猪只,mycoplasma,True
normal/oink_4.wav,normal,normal,0.9482,健康猪只,mycoplasma,True
normal/oink_5.wav,normal,normal,0.9358,健康猪只,mycoplasma,True
normal/oink_6.wav,normal,normal,0.9568,健康猪只,mycoplasma,True
normal/oink_7.wav,normal,normal,0.9541,健康猪只,mycoplasma,True
normal/oink_8.wav,normal,normal,0.9499,健康猪只,mycoplasma,True
normal/oink_9.wav,normal,normal,0.9408,健康猪只,mycoplasma,True
normal/play_1.wav,normal,normal,0.9434,健康猪只,mycoplasma,True
normal/play_10.wav,normal,normal,0.9521,健康猪只,mycoplasma,True
normal/play_2.wav,normal,normal,0.9455,健康猪只,mycoplasma,True
normal/play_3.wav,normal,normal,0.9445,健康猪只,mycoplasma,True
normal/play_4.wav,normal,normal,0.9556,健康猪只,mycoplasma,True
normal/play_5.wav,normal,normal,0.9551,健康猪只,mycoplasma,True
normal/play_6.wav,normal,normal,0.9521,健康猪只,mycoplasma,True
normal/play_7.wav,normal,normal,0.9427,健康猪只,mycoplasma,True
normal/play_8.wav,normal,normal,0.934,健康猪只,mycoplasma,True
normal/play_9.wav,normal,normal,0.935,健康猪只,mycoplasma,True
normal/scream_1.wav,normal,normal,0.9569,健康猪只,mycoplasma,True
normal/scream_2.wav,normal,normal,0.9569,健康猪只,mycoplasma,True
normal/scream_3.wav,normal,normal,0.9386,健康猪只,mycoplasma,True
normal/scream_4.wav,normal,normal,0.9491,健康猪只,mycoplasma,True
normal/scream_5.wav,normal,normal,0.9585,健康猪只,mycoplasma,True
normal/scream_6.wav,normal,normal,0.9313,健康猪只,mycoplasma,True
normal/scream_7.wav,normal,normal,0.9343,健康猪只,mycoplasma,True
normal/snore_1.wav,normal,normal,0.9359,健康猪只,mycoplasma,True
normal/snore_2.wav,normal,normal,0.9577,健康猪只,mycoplasma,True
normal/snore_3.wav,normal,normal,0.9587,健康猪只,mycoplasma,True
normal/snore_4.wav,normal,normal,0.9573,健康猪只,mycoplasma,True
normal/snore_5.wav,normal,normal,0.9333,健康猪只,mycoplasma,True
normal/unknown_normal_1.wav,normal,normal,0.9592,健康猪只,mycoplasma,True
normal/unknown_normal_10.wav,normal,normal,0.9589,健康猪只,mycoplasma,True
normal/unknown_normal_100.wav,normal,normal,0.9458,健康猪只,mycoplasma,True
normal/unknown_normal_11.wav,normal,normal,0.9601,健康猪只,mycoplasma,True
normal/unknown_normal_12.wav,normal,normal,0.9599,健康猪只,mycoplasma,True
normal/unknown_normal_13.wav,normal,normal,0.9596,健康猪只,mycoplasma,True
normal/unknown_normal_14.wav,normal,normal,0.9606,健康猪只,mycoplasma,True
normal/unknown_normal_15.wav,normal,normal,0.9573,健康猪只,mycoplasma,True
normal/unknown_normal_16.wav,normal,normal,0.9586,健康猪只,mycoplasma,True
normal/unknown_normal_17.wav,normal,normal,0.9587,健康猪只,mycoplasma,True
normal/unknown_normal_18.wav,normal,normal,0.9604,健康猪只,mycoplasma,True
normal/unknown_normal_19.wav,normal,normal,0.9594,健康猪只,mycoplasma,True
normal/unknown_normal_2.wav,normal,normal,0.9612,健康猪只,mycoplasma,True
normal/unknown_normal_20.wav,normal,normal,0.9571,健康猪只,mycoplasma,True
normal/unknown_normal_21.wav,normal,normal,0.9579,健康猪只,mycoplasma,True
normal/unknown_normal_22.wav,normal,normal,0.9597,健康猪只,mycoplasma,True
normal/unknown_normal_23.wav,normal,normal,0.9582,健康猪只,mycoplasma,True
normal/unknown_normal_24.wav,normal,normal,0.9527,健康猪只,mycoplasma,True
normal/unknown_normal_25.wav,normal,normal,0.9599,健康猪只,mycoplasma,True
normal/unknown_normal_26.wav,normal,normal,0.9582,健康猪只,mycoplasma,True
normal/unknown_normal_27.wav,normal,normal,0.9571,健康猪只,mycoplasma,True
normal/unknown_normal_28.wav,normal,normal,0.9579,健康猪只,mycoplasma,True
normal/unknown_normal_29.wav,normal,normal,0.9589,健康猪只,mycoplasma,True
normal/unknown_normal_3.wav,normal,normal,0.96,健康猪只,mycoplasma,True
normal/unknown_normal_30.wav,normal,normal,0.9577,健康猪只,mycoplasma,True
normal/unknown_normal_31.wav,normal,normal,0.9547,健康猪只,mycoplasma,True
normal/unknown_normal_32.wav,normal,normal,0.9588,健康猪只,mycoplasma,True
normal/unknown_normal_33.wav,normal,normal,0.9592,健康猪只,mycoplasma,True
normal/unknown_normal_34.wav,normal,normal,0.9531,健康猪只,mycoplasma,True
normal/unknown_normal_35.wav,normal,normal,0.9504,健康猪只,mycoplasma,True
normal/unknown_normal_36.wav,normal,normal,0.957,健康猪只,mycoplasma,True
normal/unknown_normal_37.wav,normal,normal,0.9594,健康猪只,mycoplasma,True
normal/unknown_normal_38.wav,normal,normal,0.9565,健康猪只,mycoplasma,True
normal/unknown_normal_39.wav,normal,normal,0.9579,健康猪只,mycoplasma,True
normal/unknown_normal_4.wav,normal,normal,0.9596,健康猪只,mycoplasma,True
normal/unknown_normal_40.wav,normal,normal,0.954,健康猪只,mycoplasma,True
normal/unknown_normal_41.wav,normal,normal,0.9573,健康猪只,mycoplasma,True
normal/unknown_normal_42.wav,normal,normal,0.9582,健康猪只,mycoplasma,True
normal/unknown_normal_43.wav,normal,normal,0.9574,健康猪只,mycoplasma,True
normal/unknown_normal_44.wav,normal,normal,0.9553,健康猪只,mycoplasma,True
normal/unknown_normal_45.wav,normal,normal,0.9575,健康猪只,mycoplasma,True
normal/unknown_normal_46.wav,normal,normal,0.9457,健康猪只,mycoplasma,True
normal/unknown_normal_47.wav,normal,normal,0.9496,健康猪只,mycoplasma,True
normal/unknown_normal_48.wav,normal,normal,0.9585,健康猪只,mycoplasma,True
normal/unknown_normal_49.wav,normal,normal,0.9602,健康猪只,mycoplasma,True
normal/unknown_normal_5.wav,normal,normal,0.9591,健康猪只,mycoplasma,True
normal/unknown_normal_50.wav,normal,normal,0.9555,健康猪只,mycoplasma,True
normal/unknown_normal_51.wav,normal,normal,0.9571,健康猪只,mycoplasma,True
normal/unknown_normal_52.wav,normal,normal,0.958,健康猪只,mycoplasma,True
normal/unknown_normal_53.wav,normal,normal,0.954,健康猪只,mycoplasma,True
